,auc-fold1,auc-fold2,auc-fold3,auc-fold4,auc-fold5
month1,0.7245115,0.7059518,0.6967636,0.6993509,0.7094598
year1,0.6713141,0.6717217,0.6704132,0.6723232,0.65333
year2,0.6530018,0.660327,0.636009,0.6345451,0.6428719
year3,0.641422,0.6299073,0.6342409,0.6348813,0.6222754
year4,0.6350548,0.6377493,0.6240165,0.608086,0.6344772
year5,0.6407452,0.6335133,0.6304906,0.618954,0.6306456
year6,0.6308953,0.6396697,0.6315632,0.6308974,0.6314539
year7,0.6389315,0.6399478,0.6434292,0.6476632,0.6338119
year8,0.6666844,0.6588828,0.6406267,0.6662956,0.6728395
year9,0.682832,0.6854889,0.6930518,0.699549,0.6853588
year10,0.7053065,0.694296,0.7106444,0.7100545,0.7060701
