,sensitivity-fold1,sensitivity-fold2,sensitivity-fold3,sensitivity-fold4,sensitivity-fold5
month1,0.6682927,0.6268293,0.6381418,0.6170732,0.6390244
year1,0.6089385,0.6149554,0.6022346,0.6201117,0.5888268
year2,0.6024306,0.5876736,0.59375,0.5572917,0.5902778
year3,0.5831502,0.5736264,0.5945748,0.5721612,0.5641026
year4,0.5688661,0.5883483,0.554132,0.565663,0.6053812
year5,0.5905735,0.5729699,0.5767045,0.5661556,0.5854628
year6,0.5642857,0.5811224,0.5676365,0.5770408,0.577551
year7,0.5725508,0.5690531,0.5540665,0.5889145,0.5676674
year8,0.5708845,0.571912,0.5459162,0.573181,0.5882353
year9,0.5296427,0.5233608,0.5471328,0.5673341,0.5638005
year10,0.5322521,0.508662,0.535767,0.5363067,0.5484703
